0901-01-11: ['ШШЭЗ:403']
0908-05-01: ['ЖRIЖ:562']
0909-04-03: ['РЗUА:966']
0912-01-24: ['АФОЗ:312']
0912-08-08: ['ЯТGШ:75']
0915-06-13: ['UХPИ:705']
0915-06-26: ['SЬCЪ:750']
0917-02-14: ['ЙGЕЭ:918']
0922-07-16: ['IQЗЖ:49']
0923-03-25: ['АLWO:661']
0924-10-20: ['МЯZE:684']
0927-05-04: ['ЗUTJ:331']
0929-04-21: ['ЕFНK:621']
0930-04-01: ['ХUТP:740']
0931-12-22: ['НGЬЬ:442']
0935-05-19: ['ЕRAE:957']
0935-11-20: ['ЫОЩЪ:815']
0942-09-22: ['МCRУ:167']
0943-08-10: ['ОDBL:729']
0947-02-28: ['BЧУЙ:129']
0951-09-19: ['UДШЛ:222']
0954-10-22: ['ЯJXK:213']
0962-05-03: ['ULЖЖ:874']
0963-02-27: ['OШИС:801']
0963-10-05: ['ЦРЮЦ:982']
0964-10-18: ['ТVДD:393']
0965-03-22: ['АECФ:975']
0969-03-20: ['VВVЬ:480']
0970-03-14: ['AXJВ:981']
0971-04-04: ['УБYL:461']
0973-05-18: ['ЧFДГ:823']
0977-09-16: ['WMQЮ:197']
0980-04-17: ['ОЛПЩ:725']
0982-06-03: ['РFШР:867']
0984-12-22: ['SЪZW:470']
0985-10-05: ['BЩCО:328']
0986-11-17: ['ГОPI:557']
0988-10-23: ['НОЛC:780']
0989-01-02: ['ФCJN:401']
0992-09-06: ['PАLS:903']
0996-02-17: ['JEГЛ:727']
0999-09-17: ['ХБEШ:322']
1000-03-06: ['RHRH:902']
1000-12-03: ['КЫQH:428']
1007-04-07: ['HIЕТ:13']
1008-10-28: ['ЫCЗU:760']
1012-05-26: ['ЪХYФ:348']
1020-10-22: ['ЮPНP:674']
1021-07-28: ['ZЬLБ:351']
1027-07-01: ['JОКO:783']
1027-08-22: ['ЯШЬР:77']
1028-12-21: ['BHЭH:345']
1033-01-10: ['ИООЭ:615']
1035-09-03: ['MVRЦ:179']
1037-01-17: ['DНMИ:267']
1037-11-04: ['QEЙА:359']
1040-04-07: ['ИЕUЙ:223']
1046-11-11: ['ИРIЫ:789']
1049-05-26: ['HМЪF:770']
1050-12-27: ['ЕGGW:163']
1055-08-21: ['ЩХQA:176']
1059-07-11: ['ШПZE:290']
1065-03-02: ['ЧРЪP:746']
1067-07-15: ['WNЛТ:564']
1068-10-18: ['ОVНD:169']
1070-12-10: ['QЮAО:631']
1072-03-16: ['PXГЙ:110']
1072-06-18: ['PMUВ:989']
1073-12-04: ['OЖГA:40']
1082-12-25: ['ЪUKU:324']
1084-09-12: ['ЬЭOE:679']
1086-01-09: ['TCРK:201']
1091-03-22: ['ЯRHT:953']
1092-08-19: ['FЭЗO:36']
1099-11-09: ['ШURA:184']
1100-09-24: ['ШNUC:823']
1101-04-22: ['LЫТЧ:158']
1116-03-08: ['WЙKР:278']
1123-06-18: ['ЪCAB:514']
1124-06-14: ['ЬОЖB:714']
1127-03-12: ['ПAPШ:903']
1134-10-22: ['ГБЭЕ:713']
1135-02-14: ['GУJЦ:151']
1135-10-01: ['ШЬYO:536']
1135-10-26: ['ВGХZ:673']
1137-05-26: ['ATУВ:109']
1139-03-03: ['IYЯP:915']
1140-07-10: ['VНЮG:400']
1140-12-17: ['LШGO:997']
1143-03-28: ['KВXI:416']
1145-12-06: ['ЪVНL:416']
1152-10-25: ['ЧTЪD:303']
1153-05-15: ['ПСYU:137']
1154-03-08: ['KUCЖ:917']
1159-06-26: ['LЙПU:836']
1161-10-22: ['ХLNЬ:936']
1161-12-23: ['ЯГПE:716']
1163-01-03: ['LEOМ:844']
1163-02-09: ['CЦТС:326']
1163-03-17: ['АЩPЕ:444']
1164-07-15: ['DYPG:932']
1169-02-04: ['JЦPI:182']
1169-11-21: ['ЭKBI:95']
